SEX,AGE,EDUCATION,INCOME,ACTIVITY,CHURN,NEGTWEETS,STATE
F,84,2,3852862,5,0,3,TX
F,44,2,3849843,1,0,2,CA
F,23,2,3217364,1,1,5,CA
F,24,2,2438218,4,1,2,WA
F,67,5,2428245,3,0,3,CT
M,29,5,2232158,5,1,9,NY
F,28,2,2222973,1,1,4,WA
M,21,5,2010826,2,0,2,CT
F,25,2,1996294,2,0,3,WA
F,55,5,1896126,4,0,1,CT
M,49,5,1883207,1,0,3,CA
F,42,5,867110,4,0,3,CT
F,78,5,743981,0,0,4,CA
F,46,2,731399,2,0,2,WA
M,63,5,453591,2,0,2,CA
M,22,5,418095,2,0,4,NY
F,31,5,406167,3,1,5,TX
M,70,2,357753,1,1,9,WA
F,58,5,342269,2,0,4,TX
M,41,3,316530,4,0,7,TX
M,72,5,285872,5,0,3,WA
M,47,5,264763,4,0,4,NY
F,33,2,264244,0,1,15,TX
F,57,5,257795,1,1,9,CT
F,58,2,227844,1,0,4,WA
M,24,2,226822,1,1,9,CA
F,50,3,225602,4,0,3,CA
M,32,2,225412,1,1,9,CT
M,74,2,224141,1,1,7,TX
F,78,2,224002,2,0,2,CT
F,74,2,223025,2,0,2,CA
M,72,3,222836,2,0,3,TX
F,64,2,222582,0,0,4,WA
M,21,2,222577,2,1,14,CA
F,43,2,220203,3,0,4,CA
F,54,2,219937,2,0,2,NY
F,61,3,219034,1,1,7,CT
F,34,2,219032,4,0,4,TX
F,45,3,218754,1,1,9,NY
F,52,2,218504,0,0,3,TX
F,82,3,218143,4,0,2,TX
F,45,3,217523,4,0,3,WA
M,63,3,217137,1,0,4,CA
F,31,2,215873,1,1,5,TX
F,58,2,214990,3,0,2,NY
F,52,3,214301,0,1,5,CA
M,24,2,212946,3,1,13,CT
M,42,3,211756,1,0,2,NY
M,36,3,210914,2,0,4,CT
F,79,2,210672,2,0,2,NY
F,44,2,209976,1,0,4,CA
M,63,2,209723,2,0,3,TX
M,21,2,209075,1,1,12,CT
M,52,2,208877,3,0,3,CA
M,34,3,208681,2,0,4,TX
F,60,2,208334,2,1,12,WA
F,45,3,208174,5,0,3,WA
M,49,3,204861,1,0,4,CA
M,72,3,204837,3,0,0,WA
M,51,3,203900,1,0,3,WA
M,76,2,203885,2,0,1,TX
M,53,2,203161,2,0,3,NY
M,47,2,202802,1,1,10,TX
M,42,2,202599,2,0,2,WA
M,55,2,202017,1,0,4,NY
M,30,2,201652,2,1,7,CA
M,63,2,200898,3,0,1,CT
F,82,2,200795,1,0,1,NY
M,65,2,200519,1,0,2,TX
M,74,3,199469,5,0,2,PA
F,73,2,198514,3,0,2,MI
M,39,3,198421,4,0,3,ID
F,43,2,195656,1,0,1,VT
F,33,2,195287,2,0,4,AK
M,32,3,194103,0,1,15,OR
M,65,3,193726,0,1,9,PA
M,78,2,191973,1,0,3,NV
M,63,2,191918,1,0,1,IN
M,49,3,191806,1,0,1,OK
M,31,2,190976,0,1,10,PA
M,48,3,190756,3,0,2,DE
M,61,2,190320,2,0,4,RI
F,62,3,190135,3,1,14,MI
M,66,2,190102,1,0,4,NV
M,28,3,190094,1,0,3,NH
M,47,2,188630,2,0,6,IA
F,39,2,188564,1,1,9,PA
M,62,2,188244,5,0,2,NE
F,66,2,188201,0,0,3,WY
F,65,2,188112,2,1,9,MD
M,28,3,187895,1,1,12,ID
F,26,3,187695,0,1,7,ID
M,33,3,186401,3,0,6,NV
M,60,3,186268,2,0,2,TX
M,53,3,185065,4,1,10,PA
F,45,2,184791,2,0,3,IL
F,31,2,184709,5,0,3,CO
M,78,2,184238,1,0,4,FL
M,50,3,183052,5,0,3,CA
M,38,3,181968,4,0,2,AL
M,29,3,180815,1,0,4,NE
M,22,3,180312,5,0,4,WA
M,22,2,179889,1,1,13,ID
M,36,2,178850,1,0,1,OH
M,38,3,178838,1,1,6,ID
F,33,2,178326,2,0,4,MA
F,55,2,178142,1,0,3,WY
M,33,2,178109,1,1,9,WA
F,59,2,177969,5,0,3,SC
M,41,2,177542,2,1,8,PA
M,34,2,176704,3,0,5,NY
F,25,2,176450,4,0,1,KS
F,34,2,176366,2,0,0,WA
M,61,3,176355,2,0,3,NE
M,30,2,176189,2,1,9,MI
F,65,3,176125,0,0,4,PA
M,39,2,175670,3,0,3,KS
M,44,2,175440,0,1,7,PA
F,47,3,175066,2,0,3,MO
M,32,2,174984,1,1,13,ID
M,54,2,174665,2,0,2,GA
F,47,2,174427,3,0,4,VT
M,40,2,174207,1,1,14,ID
M,25,2,173282,5,1,6,MI
M,58,2,172998,0,1,10,OR
F,29,2,172740,1,0,5,OH
F,58,2,172318,4,0,2,MD
M,62,2,172173,1,0,2,VT
F,37,3,171671,2,0,5,ME
M,68,3,171654,4,0,3,NV
F,83,3,171451,1,0,3,NJ
M,62,3,171078,4,0,4,CA
M,27,2,170822,0,0,2,WY
F,69,3,170790,2,0,3,MD
M,46,2,170710,5,0,3,RI
M,52,3,170128,2,0,2,RI
M,41,2,170049,1,1,11,PA
M,21,2,169965,2,1,10,ND
F,57,2,168756,1,0,3,AK
M,29,2,168669,0,1,11,OR
M,51,2,167502,0,0,3,ID
M,32,2,167295,3,0,2,ID
F,75,2,166701,0,0,3,MT
F,35,3,166662,5,0,4,KS
M,53,3,166633,3,0,3,NE
M,66,3,165763,0,1,3,CA
M,54,2,165455,4,0,3,KS
M,72,2,163813,2,0,4,FL
M,33,3,163337,2,0,5,WA
M,59,2,161497,4,0,3,AR
F,33,3,161436,3,0,4,TN
M,28,3,160991,1,1,9,ND
M,51,3,159206,2,1,5,MD
M,54,2,158433,2,0,2,MI
F,56,3,158020,2,0,3,NV
M,41,3,157569,0,0,3,IL
F,50,3,157470,0,0,4,IN
F,39,3,156790,2,0,3,ID
F,61,3,154649,5,0,4,OR
F,52,3,154452,5,0,3,VT
M,45,3,153724,1,1,10,ID
F,65,2,153679,3,0,3,KS
M,43,2,153603,2,1,10,WA
M,38,3,153220,2,0,3,CO
F,37,3,152522,4,1,11,MD
F,45,2,152399,2,0,1,AR
M,36,3,152107,5,0,5,NE
F,63,3,151110,2,0,4,WV
F,80,2,150910,1,0,5,PA
F,36,3,149794,3,0,2,CA
F,42,3,149500,0,1,6,OR
F,40,2,148588,1,1,3,OR
F,29,2,147983,5,0,2,WI
F,33,3,147931,0,1,12,WA
M,53,2,147098,2,0,1,SC
M,71,2,147074,2,0,3,IA
M,39,2,146756,2,1,13,MI
M,51,2,146756,0,1,5,MI
F,44,2,146203,1,1,7,ID
M,33,2,146185,4,0,3,WI
M,47,3,144993,1,0,3,KY
M,34,3,144920,1,1,9,MI
M,37,3,144546,1,1,17,OR
F,30,2,144313,0,0,4,MT
F,76,2,143463,2,0,4,TN
F,42,3,142690,3,0,3,SC
F,38,3,142299,4,0,2,CT
M,57,3,141986,3,0,2,SC
M,69,2,140714,5,0,3,ME
M,70,3,140478,3,0,3,DC
F,29,2,138856,2,1,8,MI
F,22,2,138688,4,0,4,VA
M,36,2,137992,3,0,4,NJ
M,45,2,137942,2,0,3,MA
M,46,2,137448,4,0,1,AZ
F,23,2,137245,2,1,9,MI
M,60,3,135779,2,0,4,IA
M,25,3,135761,5,0,3,ME
M,53,2,135429,4,0,3,DE
M,41,3,134858,1,0,1,CO
F,25,2,134617,2,0,3,ND
F,51,2,134128,3,0,5,WY
F,44,2,133982,0,0,4,FL
F,62,2,133824,4,1,3,CA
F,32,3,133772,2,1,13,OR
M,80,2,133351,4,0,2,NY
M,63,2,132935,2,0,2,ID
M,47,2,132679,1,1,7,MI
F,44,3,132410,3,0,2,ME
M,39,3,132362,5,0,5,OK
F,27,2,132267,1,1,15,MD
M,28,2,132196,5,0,4,NY
F,58,2,132177,3,0,4,WA
F,31,2,132147,3,1,11,MI
M,56,2,131820,2,0,3,IA
F,52,2,131739,0,0,2,NY
F,45,2,131451,5,0,4,RI
F,52,3,131075,2,0,2,PA
F,62,3,130688,1,0,2,TX
F,54,2,130568,1,0,2,RI
F,48,2,130237,3,1,8,OR
M,75,2,130150,0,0,2,NV
F,44,3,129889,2,0,2,TX
F,74,2,129883,1,0,2,GA
F,23,3,129397,2,0,3,DE
M,73,2,129384,1,0,2,SD
M,35,2,129285,3,0,3,PA
M,31,2,129276,2,0,2,MS
F,36,3,129128,2,0,2,MT
F,40,3,129071,0,1,10,MD
M,69,2,128961,1,1,3,MD
M,37,3,128606,2,0,2,VT
M,31,3,128021,2,1,13,ID
M,64,2,128021,2,0,3,WI
M,24,2,127814,1,1,4,ND
F,52,3,127507,1,1,15,ID
F,32,3,127161,0,1,9,WA
M,71,3,126752,5,0,5,NJ
M,28,2,126259,4,0,3,OH
M,24,3,126096,3,1,11,MD
F,39,2,125906,1,1,10,MI
M,36,3,125812,1,1,6,ID
F,57,2,125123,2,0,3,AK
M,61,2,124906,4,0,2,NY
M,34,2,124838,2,0,3,SC
F,74,2,124751,2,0,4,CO
F,45,2,124751,0,1,13,OR
M,65,2,124622,2,0,3,MS
F,45,2,124473,5,0,1,IN
M,32,2,124381,2,1,9,ND
M,23,2,124132,0,1,7,MI
M,59,2,124018,0,0,4,MT
M,57,2,123830,2,0,2,OK
M,37,3,123431,1,0,2,OR
M,63,2,123394,2,0,3,AK
F,53,3,122907,1,0,3,AZ
F,54,2,122884,2,0,3,IL
M,42,3,122806,2,0,4,DE
F,33,2,121663,2,0,2,NY
F,31,3,121544,2,0,4,LA
F,63,3,121410,3,1,4,PA
M,62,3,121322,1,0,4,PA
M,57,3,120565,3,0,4,KY
F,24,3,120013,3,0,2,CO
F,54,3,119960,1,0,4,PA
M,47,3,119759,2,0,4,ME
M,85,3,119738,4,0,4,KY
M,53,2,119479,1,0,3,TX
F,67,3,119462,3,0,2,MT
M,51,2,119460,2,0,4,ND
M,56,2,119186,2,1,12,OR
M,28,3,119010,1,1,9,PA
F,46,2,118916,3,0,3,SD
M,66,3,118681,0,0,2,FL
M,58,3,118518,3,0,4,RI
F,33,2,118451,3,1,8,CA
M,46,2,118039,4,0,2,NJ
M,38,3,117949,3,0,2,UT
M,57,2,117386,1,0,5,DE
F,76,2,117325,4,0,3,NY
F,62,2,117023,4,0,3,MA
M,48,2,116900,2,0,3,NM
F,36,2,116429,0,1,7,MI
M,28,2,116336,2,1,4,ID
M,40,2,116318,2,0,3,NV
M,52,2,115899,2,0,4,IA
M,51,2,115860,3,1,9,MD
M,25,3,115630,2,1,4,OR
F,41,2,114999,2,0,4,MI
F,73,2,114646,1,1,5,OR
F,48,2,114324,2,0,4,UT
M,22,3,113950,1,1,11,PA
F,35,2,113946,2,0,3,UT
M,62,3,113855,1,0,4,LA
M,55,3,113344,2,0,6,MO
F,45,2,113309,5,0,4,OH
F,24,3,113216,2,0,4,WV
F,59,2,112977,5,0,3,OK
M,44,2,112618,2,0,2,WV
M,44,2,112509,4,0,3,SD
M,67,3,112471,5,0,3,NY
M,23,3,112369,2,0,4,TN
F,44,3,112332,0,1,12,MI
M,36,3,112278,2,0,2,NC
F,48,3,111569,5,0,3,LA
F,37,2,111488,1,1,8,MI
M,44,2,111195,2,0,2,OK
M,50,2,110858,1,1,11,CA
F,27,3,110801,2,1,15,ID
M,54,3,109641,2,0,3,WI
M,46,3,109567,3,0,1,IL
F,55,2,109487,4,0,4,ND
F,81,2,109213,3,0,4,DC
F,47,2,109150,2,0,3,MO
M,65,3,109085,4,0,4,DC
M,36,2,109084,2,0,5,VT
M,62,3,109031,3,0,3,MS
F,49,3,108630,2,0,3,GA
M,75,2,108556,5,0,4,NH
F,23,3,108232,1,1,10,MD
M,47,3,108017,4,0,2,WA
F,30,2,107828,3,1,12,PA
M,45,2,107672,1,1,6,ND
F,22,3,107359,2,0,2,OR
F,69,3,107160,1,0,3,WI
F,60,2,107123,3,0,5,VT
F,45,2,106518,3,0,2,KY
M,77,3,105857,5,0,3,AK
M,32,3,105719,3,0,4,CA
F,41,3,105615,4,0,3,WV
F,49,3,105232,0,0,4,WI
M,35,2,104982,2,0,4,SD
M,30,2,104666,1,0,2,SD
F,20,3,104495,2,0,2,SC
F,62,3,104321,2,0,2,SD
F,53,2,104293,3,0,2,MD
M,63,2,103614,2,0,4,WV
F,73,3,102844,2,0,3,MT
F,31,2,102376,3,0,1,VA
M,37,2,102344,4,0,4,MO
F,33,2,102148,2,0,3,CA
M,65,2,101364,5,0,3,ME
M,39,2,100754,4,0,3,WY
M,35,2,100029,2,0,4,VT
M,47,2,99819,3,0,3,IN
M,38,2,99660,2,0,1,WV
M,33,2,99474,2,0,3,MS
F,45,2,99407,5,0,4,AL
F,43,2,98920,2,0,3,NJ
M,24,3,98658,5,0,1,MD
F,50,2,98050,1,0,3,MI
F,50,3,97865,3,0,2,ME
F,35,2,97782,3,0,3,PA
F,41,3,97631,2,0,4,MN
M,48,3,97598,0,0,3,WI
F,48,2,97417,2,0,4,ID
F,57,2,97389,1,1,7,ND
F,48,3,97211,1,0,3,NJ
M,77,2,96663,5,0,4,VA
M,58,3,96293,2,1,7,CA
M,78,2,96008,5,0,5,AZ
M,28,3,95714,5,0,3,AK
F,60,2,95592,5,0,3,OR
F,22,2,95542,2,1,9,MD
F,42,3,95532,5,0,3,IL
M,27,2,95416,3,0,2,WV
M,39,2,95335,2,0,4,ND
M,48,3,95013,0,1,11,ID
M,60,3,94916,1,0,4,NM
M,55,2,94841,1,0,4,VA
F,30,2,94283,4,0,4,VT
F,73,3,93630,1,0,3,OR
M,36,2,93380,4,0,3,KS
M,64,3,93138,1,0,4,TN
M,45,3,92902,3,1,6,WA
M,23,2,92734,2,0,3,WV
F,25,3,92684,2,1,15,MD
M,48,2,92488,3,0,4,WA
M,26,3,92009,1,0,3,IL
M,20,2,91918,3,0,3,AL
F,64,2,91911,2,0,2,MO
F,38,2,91839,2,0,4,NJ
F,44,2,91559,1,1,8,OR
M,45,3,91515,4,0,4,NJ
M,51,3,91265,3,0,3,CT
M,48,3,91137,1,0,2,WA
M,31,2,91118,1,1,6,PA
M,55,3,89440,4,0,4,WV
M,52,3,89276,0,0,4,OR
F,48,2,89218,3,0,3,OH
F,32,2,88895,4,0,4,WY
M,35,3,88847,1,0,1,LA
F,52,3,88618,1,1,11,ID
M,71,3,88246,0,1,4,CA
M,52,2,88234,5,0,1,NE
F,26,2,87019,4,0,3,MS
F,35,2,86831,0,1,7,ID
F,35,3,86434,4,0,2,ME
F,52,3,86336,1,0,2,ND
F,27,3,86023,0,1,13,PA
M,35,2,85470,2,0,2,SD
F,48,3,85306,2,0,3,IN
F,39,3,85265,1,0,1,NM
F,87,3,84948,2,0,4,GA
F,39,2,84710,1,0,3,CT
M,61,3,84592,0,0,3,VT
M,27,2,84516,3,0,4,CO
M,40,2,84021,2,1,9,WA
M,50,2,83840,2,0,4,SC
F,68,3,83806,4,0,2,IN
F,24,2,83340,1,1,8,ND
M,52,3,81280,2,0,3,OR
F,45,3,81067,0,1,3,ND
F,83,2,80961,2,0,1,GA
F,35,3,80756,2,0,5,FL
M,54,3,80292,2,0,5,NH
M,46,2,80166,2,0,3,KS
F,37,2,79917,3,0,2,GA
F,43,2,79803,3,0,4,MO
F,55,2,79784,1,0,2,NC
M,31,3,79750,1,1,12,PA
F,47,2,79525,5,1,10,CA
M,61,2,78762,3,0,3,DE
M,52,3,78608,1,0,3,KS
F,80,2,78318,3,0,3,OR
M,32,2,78290,4,1,13,WA
M,53,2,78186,5,0,1,PA
F,49,2,78043,1,0,2,DC
F,45,2,78040,3,0,2,CA
F,58,2,78002,2,0,1,IA
F,45,2,78000,1,0,3,AK
M,55,4,77878,2,0,3,WA
F,71,3,77802,0,0,3,MA
F,71,2,77785,1,0,4,NH
M,27,3,77537,2,1,15,MI
F,35,2,77325,5,0,2,ND
F,32,4,77280,4,0,4,DC
F,43,4,77103,2,0,4,NE
M,27,4,76846,2,0,2,MN
M,44,3,76654,2,0,4,NM
F,33,2,76467,2,0,3,SC
M,38,2,76448,4,0,1,OK
M,58,4,76435,5,0,4,WA
F,66,4,76222,2,0,4,MN
F,34,3,76188,3,0,2,SD
F,65,4,76117,3,0,2,CA
F,39,2,76005,4,0,3,UT
F,21,4,75879,4,0,4,TX
F,68,3,75752,1,0,2,IN
M,76,2,75672,2,0,4,OR
M,47,2,75627,2,1,9,PA
M,49,4,75481,4,0,3,GA
M,54,2,75010,3,1,5,ND
M,51,2,74595,2,0,3,ME
M,52,4,74477,0,1,8,OR
F,67,4,74351,5,0,2,KY
F,62,4,74140,1,0,3,ME
F,60,4,74110,4,0,3,NM
F,33,2,74033,3,0,3,PA
M,44,3,73856,2,0,3,AL
F,43,4,73657,2,0,3,MT
F,53,4,73626,1,0,3,NV
M,46,4,73618,2,1,12,ND
F,84,3,73583,2,0,2,ID
M,46,4,73301,2,0,3,MD
M,39,3,73216,3,1,9,OR
M,39,2,73158,1,1,5,OR
F,27,4,73051,4,0,3,IL
F,21,2,72713,1,1,9,PA
M,41,2,72371,5,0,3,KY
F,28,2,72300,1,1,11,ND
M,70,2,72113,4,0,4,NE
M,71,2,72082,5,0,2,CA
M,49,4,71963,1,0,5,WY
M,55,2,71795,4,0,3,MS
M,21,4,71745,0,1,6,OR
M,40,4,71704,3,1,8,WA
M,49,4,71695,1,1,11,MD
F,79,2,71641,0,1,2,ID
F,27,4,71542,3,0,3,OK
F,40,4,71390,3,0,4,RI
F,25,2,71258,1,0,4,IN
M,56,2,71160,1,0,4,NE
M,33,2,71092,1,1,11,MI
F,45,4,70761,2,0,2,WY
F,38,2,70646,2,0,3,AK
M,25,4,70588,3,1,12,OR
M,45,2,70478,2,0,3,RI
M,37,4,70258,2,0,4,AK
M,45,4,70209,1,1,2,CA
F,22,2,70208,1,1,9,ID
M,40,2,70124,4,0,5,ID
F,29,2,70117,2,1,11,PA
M,87,2,69971,0,0,5,NC
F,78,4,69845,4,0,3,ME
M,56,3,69571,2,0,3,IL
M,62,2,69320,2,0,3,KY
M,48,4,68881,1,0,4,MN
F,38,4,68810,4,0,4,MT
M,65,4,68779,2,0,4,FL
M,42,2,68633,3,1,10,OR
M,27,4,68608,3,0,3,KY
F,54,2,68429,1,0,5,IN
M,66,2,68375,4,0,4,KY
F,52,4,68233,2,1,13,ND
M,61,3,68181,2,0,2,AZ
M,31,4,68122,2,0,2,AL
M,52,2,67824,1,0,1,WA
F,27,3,67794,1,1,5,PA
F,37,4,67743,1,0,5,NM
F,40,4,67525,2,0,4,DC
M,28,4,67492,3,0,2,MA
M,37,2,67301,0,1,10,OR
M,32,4,67247,1,1,11,MD
F,50,2,67222,1,0,2,IA
M,46,3,67174,3,0,6,NJ
M,24,2,67157,3,1,11,MD
F,60,2,67043,1,0,4,MD
F,80,2,67017,0,0,3,IA
M,51,4,66768,2,0,2,VT
M,79,2,66725,2,0,4,NJ
M,48,4,66674,2,0,2,NE
F,30,4,66631,3,1,14,OR
